2.196.16.172.in-addr.arpa	name = tyc-dhcp-2.thimm.de
3.196.16.172.in-addr.arpa	name = tyc-dc-2.thimm.de
7.196.16.172.in-addr.arpa	name = tyc-minda-1.thimm.de
8.196.16.172.in-addr.arpa	name = tyc-app-3.thimm.de
11.196.16.172.in-addr.arpa	name = tyc-sccm-dp-1.thimm.de
12.196.16.172.in-addr.arpa	name = tyc-wpa-2.thimm.de
13.196.16.172.in-addr.arpa	name = tyc-info.thimm.de
14.196.16.172.in-addr.arpa	name = tyc-backup-p-1.thimm.de
15.196.16.172.in-addr.arpa	name = tyc-app-2.thimm.de
16.196.16.172.in-addr.arpa	name = tyc-print-2.thimm.de
17.196.16.172.in-addr.arpa	name = tyc-file-2.thimm.de
18.196.16.172.in-addr.arpa	name = tyc-app-4.thimm.de
19.196.16.172.in-addr.arpa	name = tyc-rdp-4.thimm.de
20.196.16.172.in-addr.arpa	name = tyc-sql-3.thimm.de
21.196.16.172.in-addr.arpa	name = cpms-if-tyc-3.thimm.de
24.196.16.172.in-addr.arpa	name = TYC-BKPROXY-1.thimm.de
25.196.16.172.in-addr.arpa	name = TYC-BKPROXY-2.thimm.de
26.196.16.172.in-addr.arpa	name = TYC-CPMS-1.thimm.de
27.196.16.172.in-addr.arpa	name = TYC-BACKUP-1.thimm.de
28.196.16.172.in-addr.arpa	name = tyc-xa-appmstr.thimm.de
29.196.16.172.in-addr.arpa	name = tyc-ctx-a-01.thimm.de
30.196.16.172.in-addr.arpa	name = tyc-ctx-a-02.thimm.de
31.196.16.172.in-addr.arpa	name = tyc-ctx-a-03.thimm.de
32.196.16.172.in-addr.arpa	name = TYC-APP-5.thimm.de
33.196.16.172.in-addr.arpa	name = tyc-app-6.thimm.de
34.196.16.172.in-addr.arpa	name = tyc-netscaler-1.thimm.de
80.196.16.172.in-addr.arpa	name = tyc-ctx-mgmt-1.thimm.de
81.196.16.172.in-addr.arpa	name = tyc-ctx-mgmt-2.thimm.de
82.196.16.172.in-addr.arpa	name = tyc-ctx-stfront.thimm.de
83.196.16.172.in-addr.arpa	name = tyc-ctx-file-1.thimm.de
230.196.16.172.in-addr.arpa	name = tyc-netapp.thimm.de
231.196.16.172.in-addr.arpa	name = tyc-netapp-1-mgmt.thimm.de
232.196.16.172.in-addr.arpa	name = tyc-netapp-1.thimm.de
233.196.16.172.in-addr.arpa	name = tyc-netapp-1-ic.thimm.de
234.196.16.172.in-addr.arpa	name = tyc-netapp-2-mgmt.thimm.de
235.196.16.172.in-addr.arpa	name = tyc-netapp-2.thimm.de
236.196.16.172.in-addr.arpa	name = tyc-netapp-2-ic.thimm.de
237.196.16.172.in-addr.arpa	name = tyc_svm_nfs.thimm.de
237.196.16.172.in-addr.arpa	name = tyc-netapp-nfs-svm.thimm.de
